Northeastern,-115,Monmouth NJ,-104
Bethune-Cookman,+116,Alabama St,-140
Lipscomb,-275,Austin Peay,+220
UTRGV,+1000,McNeese St,-2100
Bellarmine,-108,Stetson,-111
North Carolina,-134,Florida St,+112
E Kentucky,+126,Jacksonville,-152
Northwestern LA,+260,SE Louisiana,-330
North Florida,+230,FGCU,-285
TAM C. Christi,+126,Nicholls St,-152
East Texas A&M,-114,New Orleans,-105
North Alabama,-720,Cent Arkansas,+500
Queens NC,-310,West Georgia,+240
NC Central,+126,Delaware St,-152
Lamar,-125,Incarnate Word,+104
TX Southern,-1250,Ark Pine Bluff,+740
SF Austin,-115,Houston Chr,-104
Norfolk St,-1450,Morgan St,+810
Howard,-295,Coppin St,+235
Michigan,-111,Nebraska,-108
S Carolina St,-1250,MD E Shore,+740
Florida A&M,-112,Alabama A&M,-108
MS Valley St,+1280,Prairie View,-3500
Houston,-115,Texas Tech,-104
Kansas,-275,Colorado,+220
